,"{1: [2, 3, 4, 6, 7, 8, 10, 16, 22, 29, 32, 33, 34, 37, 43, 46, 48, 49, 50, 51, 52, 55, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 79, 80, 81, 83, 84, 85, 87, 91, 94, 100, 107, 115, 116, 117, 127, 128, 130, 135, 145, 147, 151, 152, 153, 163, 173, 178, 184, 188, 189, 190, 196, 198, 207, 209, 211, 216, 219, 221, 224, 225, 226, 235, 238, 248, 253, 261, 262, 263, 266, 270, 273, 276, 278, 286, 289, 290, 291, 293, 296, 298, 300, 303, 304, 305, 311, 314, 326, 328, 330, 332, 334, 336, 342, 344, 345, 346, 347, 350, 353, 366, 368, 371, 377, 380, 383, 384, 385, 388, 392, 396, 400, 404, 411, 415, 418, 420, 421, 422, 427, 429, 433, 446, 456, 457, 458, 465, 470, 473, 475, 477, 479, 481, 483, 495, 496, 497, 499, 502, 509, 511, 522, 524, 530, 532, 533, 534, 542, 544, 547, 558, 560, 565, 566, 567, 569, 572, 595, 600, 601, 602, 605, 607, 610, 625, 636, 637, 638, 641, 650, 663, 665, 669, 673, 674, 675, 681, 696, 703, 710, 711, 712, 715, 728, 739, 747, 748, 749, 759, 767, 772, 776, 783, 784, 785, 790, 792, 795, 797, 799, 801, 804, 806, 808, 810, 819, 822, 823, 824, 832, 841, 848, 851, 857, 858, 859, 861, 872, 878, 888, 894, 895, 896, 903, 912, 914, 917, 922, 926, 931, 932, 933, 942, 951, 954, 956, 959, 962, 964, 966, 969, 970, 971, 973, 976, 978, 981, 983, 985, 989, 991, 994, 996, 999, 1001, 1004, 1007, 1009, 1010, 1011, 1014, 1016, 1018, 1021, 1024, 1028, 1031, 1036, 1038, 1041, 1048, 1049, 1050, 1053, 1055, 1057, 1059, 1061, 1068, 1070, 1076, 1078, 1081, 1085, 1086, 1087, 1091, 1094, 1096, 1100, 1102, 1104, 1106, 1108, 1111, 1113, 1115, 1117, 1119, 1122, 1124, 1125, 1126, 1128, 1130, 1133, 1136, 1138, 1140, 1142, 1146, 1148, 1155, 1157, 1159, 1163, 1164, 1165, 1175, 1184, 1186, 1188, 1189, 1191, 1196, 1198, 1199, 1200, 1204, 1206, 1209, 1211, 1216, 1218, 1220, 1223, 1236, 1237, 1238, 1240, 1243, 1246, 1255, 1260, 1262, 1265, 1267, 1271, 1273, 1274, 1275, 1281, 1284, 1287, 1296, 1299, 1301, 1303, 1305, 1311, 1312, 1313, 1318, 1321, 1323, 1326, 1329, 1337, 1339, 1341, 1344, 1348, 1349, 1350, 1353, 1355, 1357, 1359, 1363, 1365, 1370, 1372, 1385, 1386, 1387, 1390, 1392, 1395, 1397, 1399, 1401, 1405, 1410, 1413, 1415, 1419, 1422, 1423, 1424, 1428, 1430, 1434, 1441, 1451, 1458, 1459, 1460, 1463, 1468, 1471, 1472, 1473, 1475, 1476, 1477, 1478, 1480, 1482, 1483, 1484, 1490, 1491, 1492, 1493, 1495, 1497, 1498, 1499, 1504, 1505, 1506, 1511, 1514, 1515, 1516, 1519, 1521, 1522, 1523, 1525, 1526, 1527, 1530, 1531, 1532, 1534, 1535, 1536, 1540, 1541, 1542, 1544, 1549, 1551, 1556, 1557, 1558, 1560, 1565, 1572, 1579, 1583, 1586, 1587]}"
created,"{1: [503, 590, 1017]}"
absolved,{1: [1051]}
steward,{1: [25]}
ministries,{1: [1443]}
labored,{1: [611]}
displeases,{1: [1044]}
already,"{1: [538, 849, 967, 1030, 1129]}"
redblooded,{1: [1466]}
bengurion,{1: [227]}
another,"{1: [141, 329, 445, 482, 646, 660, 683, 706, 720, 720, 800, 839, 907, 1144, 1181, 1316, 1331, 1366, 1447, 1573]}"
toy,{1: [133]}
debase,{1: [461]}
service,{1: [550]}
propagandizing,{1: [754]}
top,"{1: [915, 1219]}"
neck,{1: [1294]}
fiction,{1: [191]}
master,"{1: [504, 529, 793]}"
listed,{1: [1500]}
dwell,{1: [987]}
percentage,{1: [1378]}
john,"{1: [889, 898]}"
bitter,"{1: [1217, 1219]}"
genesis,"{1: [685, 1145]}"
listen,"{1: [845, 1071]}"
murder,{1: [741]}
paltry,{1: [695]}
tool,"{1: [259, 737, 1502]}"
serve,"{1: [390, 1110, 1205]}"
took,"{1: [539, 945]}"
rejected,{1: [268]}
direct,"{1: [661, 1182]}"
western,"{1: [919, 1257]}"
corresponded,{1: [165]}
peculiar,{1: [468]}
begins,"{1: [357, 725, 940]}"
nail,{1: [459]}
peril,{1: [679]}
rabbi,"{1: [99, 331, 1166]}"
showed,{1: [1426]}
bitterness,{1: [1402]}
nations,"{1: [89, 343, 348, 466, 485, 571, 617, 829, 830, 849]}"
preparation,{1: [1083]}
matter,"{1: [106, 440, 469, 620, 760, 1330]}"
idle,{1: [852]}
guilt,{1: [426]}
historical,{1: [489]}
wielded,{1: [744]}
feeling,{1: [1098]}
failing,"{1: [105, 121]}"
sees,{1: [630]}
modern,"{1: [460, 578]}"
mind,"{1: [30, 137, 182, 204, 363, 449, 543, 555, 972]}"
mine,{1: [845]}
spent,"{1: [241, 734]}"
talking,{1: [379]}
manner,{1: [1277]}
worlders,{1: [906]}
seen,"{1: [1383, 1454]}"
seem,{1: [578]}
theology,{1: [1254]}
seek,"{1: [445, 699, 702, 869, 952, 1538]}"
contents,"{1: [195, 837]}"
forced,"{1: [372, 437, 581]}"
strength,"{1: [309, 406]}"
genuine,{1: [486]}
thoroughly,{1: [204]}
responsible,{1: [340]}
degenerates,{1: [317]}
thorough,{1: [432]}
predominantly,{1: [114]}
practices,{1: [651]}
forces,{1: [635]}
laughed,{1: [545]}
cochairman,{1: [171]}
circles,"{1: [187, 488]}"
nobody,{1: [1225]}
though,"{1: [468, 492, 577]}"
exercised,{1: [788]}
extending,{1: [1072]}
germany,"{1: [723, 1030, 1030]}"
negro,{1: [1438]}
plenty,"{1: [302, 1110]}"
utilize,{1: [436]}
coin,"{1: [513, 514]}"
arent,{1: [1354]}
germans,{1: [487]}
morality,"{1: [403, 405]}"
episode,{1: [1448]}
liguidated,"{1: [373, 592]}"
oath,"{1: [1043, 1044, 1045, 1054, 1064]}"
medical,{1: [1377]}
camp,{1: [349]}
flow,{1: [138]}
digress,{1: [937]}
points,{1: [577]}
principle,{1: [753]}
enterprise,{1: [576]}
dow,{1: [1230]}
fitted,{1: [505]}
reserve,"{1: [505, 512, 526, 527, 588, 735, 1194]}"
saying,"{1: [546, 1039, 1185, 1205, 1278]}"
anyones,{1: [692]}
presentday,{1: [1443]}
random,{1: [156]}
